speaker	model_number	filename	onset	offset
FEE042	0	ES2011c.Mix-Headset	101.659	102.706
FEE042	0	ES2011c.Mix-Headset	137.262	137.264
FEE042	0	ES2011c.Mix-Headset	140.906	141.632
FEE042	0	ES2011c.Mix-Headset	161.228	173.298
FEE042	0	ES2011c.Mix-Headset	174.976	189.054
FEE042	0	ES2011c.Mix-Headset	190.08	203.33
FEE042	1	ES2011c.Mix-Headset	204.368	222.227
FEE042	1	ES2011c.Mix-Headset	223.52	241.02
FEE041	0	ES2011c.Mix-Headset	73.813	78.001
FEE041	0	ES2011c.Mix-Headset	88.0	97.508
FEE041	0	ES2011c.Mix-Headset	98.544	100.448
FEE041	0	ES2011c.Mix-Headset	120.704	122.496
FEE041	0	ES2011c.Mix-Headset	124.16	133.762
FEE041	0	ES2011c.Mix-Headset	134.752	134.946
FEE041	0	ES2011c.Mix-Headset	137.911	139.926
FEE041	0	ES2011c.Mix-Headset	141.654	142.421
FEE041	0	ES2011c.Mix-Headset	243.483	243.695
FEE044	0	ES2011c.Mix-Headset	85.831	86.729
FEE044	0	ES2011c.Mix-Headset	100.965	101.076
FEE044	0	ES2011c.Mix-Headset	136.176	136.48
FEE044	0	ES2011c.Mix-Headset	279.264	281.669
FEE044	0	ES2011c.Mix-Headset	283.292	285.746
FEE044	0	ES2011c.Mix-Headset	292.651	293.873
FEE044	0	ES2011c.Mix-Headset	308.992	334.57
FEE044	1	ES2011c.Mix-Headset	335.472	353.074
FEE044	1	ES2011c.Mix-Headset	370.88	371.273
FEE044	1	ES2011c.Mix-Headset	401.6	404.944
FEE044	1	ES2011c.Mix-Headset	432.64	450.397
FEE043	0	ES2011c.Mix-Headset	83.553	85.004
FEE043	0	ES2011c.Mix-Headset	283.183	283.256
FEE043	0	ES2011c.Mix-Headset	353.362	354.224
FEE043	0	ES2011c.Mix-Headset	358.576	359.358
FEE043	0	ES2011c.Mix-Headset	412.388	413.008
FEE043	0	ES2011c.Mix-Headset	477.718	479.616
FEE043	0	ES2011c.Mix-Headset	483.072	485.48
FEE043	0	ES2011c.Mix-Headset	489.696	494.114
FEE043	0	ES2011c.Mix-Headset	508.086	513.264
FEE043	0	ES2011c.Mix-Headset	514.48	531.408
FEE042	2	ES2011c.Mix-Headset	246.304	264.835
FEE042	2	ES2011c.Mix-Headset	265.92	268.481
FEE042	2	ES2011c.Mix-Headset	282.08	282.25
FEE042	2	ES2011c.Mix-Headset	285.845	286.704
FEE042	2	ES2011c.Mix-Headset	359.764	360.826
FEE042	2	ES2011c.Mix-Headset	414.448	415.744
FEE042	2	ES2011c.Mix-Headset	431.232	431.616
FEE042	2	ES2011c.Mix-Headset	495.179	495.729
FEE042	2	ES2011c.Mix-Headset	498.169	498.456
FEE042	2	ES2011c.Mix-Headset	507.048	507.92
FEE042	2	ES2011c.Mix-Headset	562.032	565.632
FEE043	1	ES2011c.Mix-Headset	549.841	558.783
FEE043	1	ES2011c.Mix-Headset	560.754	561.408
FEE043	1	ES2011c.Mix-Headset	569.072	574.149
FEE043	1	ES2011c.Mix-Headset	578.256	578.719
FEE043	1	ES2011c.Mix-Headset	621.61	630.687
FEE043	1	ES2011c.Mix-Headset	631.733	642.198
FEE043	2	ES2011c.Mix-Headset	650.419	650.816
FEE043	2	ES2011c.Mix-Headset	654.261	655.398
FEE043	2	ES2011c.Mix-Headset	662.528	672.192
FEE043	2	ES2011c.Mix-Headset	673.28	683.048
FEE043	2	ES2011c.Mix-Headset	685.84	694.324
FEE043	2	ES2011c.Mix-Headset	695.856	699.713
FEE041	1	ES2011c.Mix-Headset	271.312	272.256
FEE041	1	ES2011c.Mix-Headset	427.31	428.92
FEE041	1	ES2011c.Mix-Headset	480.523	481.712
FEE041	1	ES2011c.Mix-Headset	494.128	494.723
FEE041	1	ES2011c.Mix-Headset	496.965	497.153
FEE041	1	ES2011c.Mix-Headset	546.368	548.83
FEE041	1	ES2011c.Mix-Headset	558.904	559.968
FEE041	1	ES2011c.Mix-Headset	576.546	576.944
FEE041	1	ES2011c.Mix-Headset	616.358	617.06
FEE041	1	ES2011c.Mix-Headset	618.946	620.656
FEE041	1	ES2011c.Mix-Headset	646.792	646.968
FEE041	1	ES2011c.Mix-Headset	651.334	654.16
FEE041	1	ES2011c.Mix-Headset	699.887	700.561
FEE041	1	ES2011c.Mix-Headset	718.425	723.2
FEE041	1	ES2011c.Mix-Headset	739.152	739.615
FEE041	1	ES2011c.Mix-Headset	763.888	764.221
FEE041	1	ES2011c.Mix-Headset	767.51	771.172
FEE041	1	ES2011c.Mix-Headset	771.776	773.76
