target_speaker	file_basename	beginning_time	end_time	duration_total_speech	duration_overlapping_speech
FEE044	ES2011c.Mix-Headset	0	60	0.0	0.0
FEE043	ES2011c.Mix-Headset	0	60	0.0	0.0
FEE042	ES2011c.Mix-Headset	0	60	0.0	0.0
FEE041	ES2011c.Mix-Headset	0	60	0.0	0.0
FEE041	ES2011c.Mix-Headset	60	120	41.379	5.407
FEE042	ES2011c.Mix-Headset	60	120	1.047	1.047
FEE043	ES2011c.Mix-Headset	60	120	4.168	1.911
FEE044	ES2011c.Mix-Headset	60	120	4.708	4.597
FEE041	ES2011c.Mix-Headset	120	180	16.375	1.875
FEE042	ES2011c.Mix-Headset	120	180	19.405	1.585
FEE043	ES2011c.Mix-Headset	120	180	1.616	1.616
FEE044	ES2011c.Mix-Headset	120	180	1.406	1.209
FEE042	ES2011c.Mix-Headset	180	240	56.643	0.000
FEE044	ES2011c.Mix-Headset	180	240	0.0	0.0
FEE043	ES2011c.Mix-Headset	180	240	0.0	0.0
FEE041	ES2011c.Mix-Headset	180	240	0.0	0.0
FEE041	ES2011c.Mix-Headset	240	300	8.920	6.644
FEE042	ES2011c.Mix-Headset	240	300	25.662	7.203
FEE043	ES2011c.Mix-Headset	240	300	1.006	0.933
FEE044	ES2011c.Mix-Headset	240	300	7.138	1.057
FEE041	ES2011c.Mix-Headset	300	360	2.228	2.228
FEE042	ES2011c.Mix-Headset	300	360	0.236	0.236
FEE043	ES2011c.Mix-Headset	300	360	2.286	2.286
FEE044	ES2011c.Mix-Headset	300	360	50.106	3.010
FEE041	ES2011c.Mix-Headset	360	420	4.095	4.095
FEE042	ES2011c.Mix-Headset	360	420	4.100	4.100
FEE043	ES2011c.Mix-Headset	360	420	4.168	4.168
FEE044	ES2011c.Mix-Headset	360	420	58.498	8.764
FEE041	ES2011c.Mix-Headset	420	480	1.610	1.610
FEE042	ES2011c.Mix-Headset	420	480	1.408	1.024
FEE043	ES2011c.Mix-Headset	420	480	4.043	2.144
FEE044	ES2011c.Mix-Headset	420	480	41.834	4.779
FEE041	ES2011c.Mix-Headset	480	540	10.216	9.027
FEE042	ES2011c.Mix-Headset	480	540	3.347	3.347
FEE043	ES2011c.Mix-Headset	480	540	48.709	13.432
FEE044	ES2011c.Mix-Headset	480	540	14.852	13.298
FEE041	ES2011c.Mix-Headset	540	600	13.346	8.765
FEE042	ES2011c.Mix-Headset	540	600	10.212	6.613
FEE043	ES2011c.Mix-Headset	540	600	48.391	14.459
FEE044	ES2011c.Mix-Headset	540	600	6.934	5.074
FEE041	ES2011c.Mix-Headset	600	660	12.888	9.126
FEE042	ES2011c.Mix-Headset	600	660	8.482	7.465
FEE043	ES2011c.Mix-Headset	600	660	52.010	16.522
FEE044	ES2011c.Mix-Headset	600	660	8.534	8.534
FEE041	ES2011c.Mix-Headset	660	720	4.210	2.653
FEE042	ES2011c.Mix-Headset	660	720	2.466	1.628
FEE043	ES2011c.Mix-Headset	660	720	52.552	3.541
FEE044	ES2011c.Mix-Headset	660	720	1.628	1.628
FEE041	ES2011c.Mix-Headset	720	780	18.966	12.438
FEE042	ES2011c.Mix-Headset	720	780	10.689	6.048
FEE043	ES2011c.Mix-Headset	720	780	44.388	18.599
FEE044	ES2011c.Mix-Headset	720	780	4.825	4.233
FEE041	ES2011c.Mix-Headset	780	840	28.685	4.731
FEE042	ES2011c.Mix-Headset	780	840	3.281	2.247
FEE043	ES2011c.Mix-Headset	780	840	30.065	8.310
FEE044	ES2011c.Mix-Headset	780	840	4.758	4.758
FEE041	ES2011c.Mix-Headset	840	900	22.116	12.768
FEE042	ES2011c.Mix-Headset	840	900	13.159	6.200
FEE043	ES2011c.Mix-Headset	840	900	36.703	13.570
FEE044	ES2011c.Mix-Headset	840	900	6.051	6.051
FEE041	ES2011c.Mix-Headset	900	960	37.229	16.622
FEE042	ES2011c.Mix-Headset	900	960	18.449	14.721
FEE043	ES2011c.Mix-Headset	900	960	26.940	15.387
FEE044	ES2011c.Mix-Headset	900	960	6.956	6.634
FEE041	ES2011c.Mix-Headset	960	1020	7.527	7.527
FEE042	ES2011c.Mix-Headset	960	1020	16.630	5.589
FEE043	ES2011c.Mix-Headset	960	1020	34.686	9.557
FEE044	ES2011c.Mix-Headset	960	1020	16.797	8.041
FEE041	ES2011c.Mix-Headset	1020	1080	12.519	11.254
FEE042	ES2011c.Mix-Headset	1020	1080	17.628	12.728
FEE043	ES2011c.Mix-Headset	1020	1080	40.195	19.057
FEE044	ES2011c.Mix-Headset	1020	1080	22.695	13.884
FEE041	ES2011c.Mix-Headset	1080	1140	16.572	16.572
FEE042	ES2011c.Mix-Headset	1080	1140	18.479	13.565
FEE043	ES2011c.Mix-Headset	1080	1140	34.774	19.025
FEE044	ES2011c.Mix-Headset	1080	1140	33.788	20.794
FEE041	ES2011c.Mix-Headset	1140	1200	39.728	10.136
FEE042	ES2011c.Mix-Headset	1140	1200	9.037	7.964
FEE043	ES2011c.Mix-Headset	1140	1200	11.019	8.694
FEE044	ES2011c.Mix-Headset	1140	1200	12.839	5.588
FEE041	ES2011c.Mix-Headset	1200	1260	30.660	18.279
FEE042	ES2011c.Mix-Headset	1200	1260	11.137	9.431
FEE043	ES2011c.Mix-Headset	1200	1260	10.749	10.493
FEE044	ES2011c.Mix-Headset	1200	1260	31.609	10.875
FEE041	ES2011c.Mix-Headset	1260	1320	15.738	13.753
FEE042	ES2011c.Mix-Headset	1260	1320	6.635	6.027
FEE043	ES2011c.Mix-Headset	1260	1320	26.480	15.775
FEE044	ES2011c.Mix-Headset	1260	1320	41.021	15.799
FEE041	ES2011c.Mix-Headset	1320	1380	15.437	7.426
FEE042	ES2011c.Mix-Headset	1320	1380	11.466	8.821
FEE043	ES2011c.Mix-Headset	1320	1380	22.827	7.314
FEE044	ES2011c.Mix-Headset	1320	1380	24.801	9.686
