target_speaker	file_basename	beginning_time	end_time	duration_total_speech	duration_overlapping_speech
!CHI_nath	lena_lyon_day1_nath_8h15	0	60	10.512	6.640
!MOT_nath	lena_lyon_day1_nath_8h15	0	60	56.016	7.184
OCH	lena_lyon_day1_nath_8h15	0	60	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_8h15	0	60	0.0	0.0
FEM	lena_lyon_day1_nath_8h15	0	60	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_8h15	60	120	28.000	18.912
!MOT_nath	lena_lyon_day1_nath_8h15	60	120	47.664	19.200
OCH	lena_lyon_day1_nath_8h15	60	120	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_8h15	60	120	0.0	0.0
FEM	lena_lyon_day1_nath_8h15	60	120	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_8h15	120	180	13.875	13.488
!MOT_nath	lena_lyon_day1_nath_8h15	120	180	57.494	13.962
OCH	lena_lyon_day1_nath_8h15	120	180	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_8h15	120	180	0.0	0.0
FEM	lena_lyon_day1_nath_8h15	120	180	0.0	0.0
!MOT_nath	lena_lyon_day1_nath_8h15	180	240	27.876	0.256
OCH	lena_lyon_day1_nath_8h15	180	240	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_8h15	180	240	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_8h15	180	240	0.0	0.0
FEM	lena_lyon_day1_nath_8h15	180	240	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	0	60	23.172	0.935
!INV_Joyce	tsay_LWJ_020520	0	60	20.250	0.977
!MOT_LWJ	tsay_LWJ_020520	0	60	0.354	0.000
SIS	tsay_LWJ_020520	0	60	0.0	0.0
GRM	tsay_LWJ_020520	0	60	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	0	60	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	0	60	0.0	0.0
OTH	tsay_LWJ_020520	0	60	0.0	0.0
GRF	tsay_LWJ_020520	0	60	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	0	60	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	60	120	17.207	0.102
!INV_Joyce	tsay_LWJ_020520	60	120	27.265	0.227
SIS	tsay_LWJ_020520	60	120	0.0	0.0
GRM	tsay_LWJ_020520	60	120	0.0	0.0
