speaker	model_number	filename	onset	offset
P26	0	S09_U02	69.25	70.35
P26	0	S09_U02	70.35	73.66
P26	0	S09_U02	82.89	83.51
P26	0	S09_U02	85.98	86.98
P26	0	S09_U02	88.87	88.9
P26	0	S09_U02	91.28	91.59
P26	0	S09_U02	98.86	101.5
P26	0	S09_U02	104.02	104.43
P26	0	S09_U02	107.99	110.42
P26	0	S09_U02	112.03	114.08
P26	0	S09_U02	122.87	125.23
P26	0	S09_U02	125.34	128.83
P26	0	S09_U02	128.91	129.62
P26	0	S09_U02	135.85	139.57
P26	0	S09_U02	140.27	140.58
P26	0	S09_U02	147.47	148.05
P26	0	S09_U02	151.62	154.79
P26	0	S09_U02	154.79	156.94
P28	0	S09_U02	76.16	79.57
P28	0	S09_U02	90.44	90.5
P28	0	S09_U02	94.68	95.07
P28	0	S09_U02	111.88	111.98
P28	0	S09_U02	122.04	122.4
P28	0	S09_U02	130.32	131.12
P28	0	S09_U02	134.12	134.88
P28	0	S09_U02	144.16	144.93
P28	0	S09_U02	159.68	160.78
P28	0	S09_U02	167.36	169.26
P28	0	S09_U02	173.23	174.15
P28	0	S09_U02	181.31	182.38
P28	0	S09_U02	194.26	194.49
P28	0	S09_U02	221.18	221.75
P28	0	S09_U02	223.26	223.53
P28	0	S09_U02	227.01	227.25
P28	0	S09_U02	248.99	250.54
P28	0	S09_U02	251.14	255.11
P28	0	S09_U02	262.16	264.36
P28	0	S09_U02	265.99	270.12
P28	0	S09_U02	304.72	306.64
P28	0	S09_U02	310.32	314.42
P25	0	S09_U02	65.59	69.17
P25	0	S09_U02	79.66	82.78
P25	0	S09_U02	87.03	87.66
P25	0	S09_U02	90.54	91.12
P25	0	S09_U02	91.71	93.52
P25	0	S09_U02	97.87	98.8
P25	0	S09_U02	101.87	103.94
P25	0	S09_U02	104.44	105.99
P25	0	S09_U02	107.47	107.52
P25	0	S09_U02	131.14	131.7
P25	0	S09_U02	142.85	144.15
P25	0	S09_U02	149.17	149.22
P25	0	S09_U02	159.1	159.55
P25	0	S09_U02	160.94	161.3
P25	0	S09_U02	162.87	163.93
P25	0	S09_U02	176.1	177.03
P25	0	S09_U02	183.69	184.41
P25	0	S09_U02	185.3	186.53
P25	0	S09_U02	188.82	189.27
P25	0	S09_U02	199.66	199.85
P25	0	S09_U02	206.61	207.1
P25	0	S09_U02	207.66	208.11
P25	0	S09_U02	210.34	210.46
P25	0	S09_U02	213.85	214.27
P25	0	S09_U02	220.15	220.63
P25	0	S09_U02	224.21	224.23
P25	0	S09_U02	227.57	229.26
P25	0	S09_U02	238.71	241.76
P25	0	S09_U02	309.35	309.95
P25	0	S09_U02	314.48	315.4
P25	0	S09_U02	316.4	316.43
P25	0	S09_U02	325.67	326.54
P27	0	S09_U02	144.94	146.23
P27	0	S09_U02	148.11	148.46
P27	0	S09_U02	149.51	150.99
P27	0	S09_U02	175.74	176.06
P27	0	S09_U02	178.09	179.1
P27	0	S09_U02	179.1	179.78
P27	0	S09_U02	187.59	188.81
P27	0	S09_U02	191.55	192.34
P27	0	S09_U02	192.34	192.39
P27	0	S09_U02	198.38	198.95
P27	0	S09_U02	202.37	203.54
P27	0	S09_U02	204.07	205.33
P27	0	S09_U02	211.95	211.96
P27	0	S09_U02	215.33	216.11
P27	0	S09_U02	224.23	226.83
P27	0	S09_U02	231.43	232.91
P27	0	S09_U02	236.9	237.57
P27	0	S09_U02	238.28	238.37
P27	0	S09_U02	241.95	242.67
P27	0	S09_U02	245.86	248.27
P27	0	S09_U02	248.27	248.3
P27	0	S09_U02	255.47	258.12
P27	0	S09_U02	260.32	261.24
