target_speaker	file_basename	beginning_time	end_time	duration_total_speech	duration_overlapping_speech
P26	S09_U02	0	60	0.0	0.0
P27	S09_U02	0	60	0.0	0.0
P28	S09_U02	0	60	0.0	0.0
P25	S09_U02	0	60	0.0	0.0
P25	S09_U02	60	120	22.920	13.420
P26	S09_U02	60	120	22.120	14.290
P27	S09_U02	60	120	5.730	4.730
P28	S09_U02	60	120	21.720	14.920
P25	S09_U02	120	180	21.110	19.420
P26	S09_U02	120	180	46.000	23.780
P27	S09_U02	120	180	8.440	6.970
P28	S09_U02	120	180	17.860	16.130
P25	S09_U02	180	240	30.150	27.530
P26	S09_U02	180	240	28.160	22.260
P27	S09_U02	180	240	35.760	28.120
P28	S09_U02	180	240	15.210	12.380
P25	S09_U02	240	300	2.270	2.250
P26	S09_U02	240	300	6.010	5.920
P27	S09_U02	240	300	20.210	12.950
P28	S09_U02	240	300	22.860	9.790
P25	S09_U02	300	360	7.150	7.150
P26	S09_U02	300	360	13.150	11.540
P27	S09_U02	300	360	9.950	8.760
P28	S09_U02	300	360	51.230	23.470
P25	S09_U02	360	420	18.240	13.690
P26	S09_U02	360	420	18.060	16.940
P27	S09_U02	360	420	17.510	12.260
P28	S09_U02	360	420	22.020	11.250
P25	S09_U02	420	480	6.830	6.400
P26	S09_U02	420	480	8.480	8.390
P27	S09_U02	420	480	6.740	4.380
P28	S09_U02	420	480	44.180	14.170
P25	S09_U02	480	540	5.870	3.910
P26	S09_U02	480	540	5.310	4.210
P27	S09_U02	480	540	9.560	6.670
P28	S09_U02	480	540	19.340	7.380
P25	S09_U02	540	600	32.120	20.130
P26	S09_U02	540	600	6.960	6.810
P27	S09_U02	540	600	4.540	2.760
P28	S09_U02	540	600	34.960	18.120
P25	S09_U02	600	660	22.860	21.450
P26	S09_U02	600	660	7.230	7.110
P27	S09_U02	600	660	18.690	12.240
P28	S09_U02	600	660	42.890	16.680
P25	S09_U02	660	720	17.530	16.470
P26	S09_U02	660	720	14.150	10.880
P27	S09_U02	660	720	8.510	4.510
P28	S09_U02	660	720	12.190	9.220
P25	S09_U02	720	780	14.540	12.680
P26	S09_U02	720	780	12.740	12.110
P27	S09_U02	720	780	0.830	0.830
P28	S09_U02	720	780	50.480	15.240
P25	S09_U02	780	840	27.220	19.310
P26	S09_U02	780	840	19.850	19.490
P27	S09_U02	780	840	14.070	9.120
P28	S09_U02	780	840	34.880	20.520
P25	S09_U02	840	900	20.450	17.010
P26	S09_U02	840	900	14.800	12.690
P27	S09_U02	840	900	16.350	15.510
P28	S09_U02	840	900	44.420	18.460
P25	S09_U02	900	960	7.620	7.100
P26	S09_U02	900	960	18.220	13.040
P27	S09_U02	900	960	22.990	11.200
P28	S09_U02	900	960	39.300	20.530
P25	S09_U02	960	1020	14.850	13.530
P26	S09_U02	960	1020	35.730	18.730
P27	S09_U02	960	1020	28.050	22.090
P28	S09_U02	960	1020	13.020	5.900
P25	S09_U02	1020	1080	31.580	26.280
P26	S09_U02	1020	1080	14.820	14.820
P27	S09_U02	1020	1080	17.700	15.360
P28	S09_U02	1020	1080	43.300	23.480
P25	S09_U02	1080	1140	9.370	7.720
P26	S09_U02	1080	1140	8.060	6.960
P27	S09_U02	1080	1140	19.420	12.530
P28	S09_U02	1080	1140	34.370	17.030
P25	S09_U02	1140	1200	15.140	12.870
P26	S09_U02	1140	1200	9.440	8.830
P27	S09_U02	1140	1200	54.110	17.670
P28	S09_U02	1140	1200	4.730	4.730
P25	S09_U02	1200	1260	26.770	17.970
